section,batch,size,callnr,title,author
Arts and Crafts,0,Large,1,Parties for Kids,"Michaeline Bresnahan, Joan Macfarlane"
Arts and Crafts,0,Large,1,Ask Listen Learn: Kids and alcohol don't mix (Vol. 3),The Century Council
Arts and Crafts,0,Medium,1,A trip to the Farm,Zapp
Arts and Crafts,0,Medium,1,Baby Einstein: Van Gogh's World of Color,Julie Aigner-Clark
Arts and Crafts,0,Small,1,Brilliant Art,Garry Walton
Arts and Crafts,0,Small,1,How to Make Balloon Animals,Aaron Hsu-Flanders
Arts and Crafts,0,Large,10,Winnie The Pooh Jigsaw Puzzle Book,A. A. Milne
Arts and Crafts,0,Medium,10,Know Your Pictures,Evergreen Publications
Arts and Crafts,0,Small,10,We're Having a Party!,Wishing Well Books
Arts and Crafts,0,Large,11,Tiny Tot Writing Book 0,Tiny Tot Publications
Arts and Crafts,0,Medium,11,My Blue Book of Trace & Color,Apple Publishing International
Arts and Crafts,0,Small,11,The Gingerbread Man (Blue),Ronne Randall
Arts and Crafts,0,Large,12,Tiny Tot Writing Book 2,Tiny Tot Publications
Arts and Crafts,0,Medium,12,Nell and Dell at the Ball Game,May S.M. Mah
Arts and Crafts,0,Small,12,The Gingerbread Man (Purple),Ronne Randall
Arts and Crafts,0,Large,13,X-Men Paint with Water,Marvel
Arts and Crafts,0,Medium,13,Let's Explore Science: Building Things,"David Evans, Claudette Williams"
Arts and Crafts,0,Small,13,Little Red Riding Hood,Ronne Randall
Arts and Crafts,0,Large,14,Easy Rhyme Words,Whitman
Arts and Crafts,0,Medium,14,Ben 10 Alien Force: How to Draw,Scholastic Inc.
Arts and Crafts,0,Small,14,Santa Claus: The Elves at the Top of the World,Meg Waters
Arts and Crafts,0,Large,15,The Reading Writing Workshop: Getting Started,"Norma R. Jackson, Paula L. Pillow"
Arts and Crafts,0,Medium,15,Magic Storybook: A Yellow Shirt,-
Arts and Crafts,0,Small,15,Pokemon Counting Book,Nintendo
Arts and Crafts,0,Large,16,Punctuation: Basic Skills for Learning (Grades 2-3),McClanahan
Arts and Crafts,0,Medium,16,Magic Storybook: The Trees in the Forest,-
Arts and Crafts,0,Small,16,How You Hear With a Cochlear Implant! Coloring Book,Cochlear
Arts and Crafts,0,Large,17,The British Museum: Mummy,Judy Lindsay
Arts and Crafts,0,Medium,17,Magic Storybook: Thanks for My Brother,-
Arts and Crafts,0,Large,18,Blends (Grades 1-3),School Zone Publishing Company
Arts and Crafts,0,Medium,18,Magic Storybook: A Strange Night at Nate's House,-
Arts and Crafts,0,Large,19,Cursive Writing (Grades 3-4),School Zone Publishing Company
Arts and Crafts,0,Medium,19,Magic Storybook: Boomerang Boy,-
Arts and Crafts,0,Large,2,Vikas Fun With Craft,Subodh Narvekar
Arts and Crafts,0,Large,2,Sparkly Girls: Princess Playtime,Igloo Books Ltd
Arts and Crafts,0,Medium,2,Here comes the Circus,Zapp
Arts and Crafts,0,Medium,2,Here comes the Circus,Zapp
Arts and Crafts,0,Medium,2,Minnie Mouse Coloring Book,-
Arts and Crafts,0,Small,2,Fantastic Crafts,Paragon
Arts and Crafts,0,Small,2,Sticker Play: Little Chick,Joshua Morris
Arts and Crafts,0,Large,20,Jump Start: Pre-K Word Games,Scholastic Inc.
Arts and Crafts,0,Medium,20,I-Science 6B Primary,Marshall Cavendish Education
Arts and Crafts,0,Large,21,Summer Success,McGraw Hill
Arts and Crafts,0,Medium,21,My Jumbo: Learning Workbook - Kinder,Easy To Learn Books
Arts and Crafts,0,Large,22,30 Collaborative Books for Your Class To Make and Share,Scholastic Inc.
Arts and Crafts,0,Large,23,Our World of Reading Workbook: Star Walk,Anvil Publishing Inc.
Arts and Crafts,0,Large,24,Everyday Circle Times,Liz & Dick Wilmes
Arts and Crafts,0,Large,25,Alphabet: Uppercase,School Zone Publishing Company
Arts and Crafts,0,Large,26,Alphabet: Lowercase,School Zone Publishing Company
Arts and Crafts,0,Large,27,School Time Fun,School Zone Publishing Company
Arts and Crafts,0,Large,28,What's Fun?,School Zone Publishing Company
Arts and Crafts,0,Large,29,Perfect Poems for Teaching Phonics,Scholastic Inc.
Arts and Crafts,0,Large,3,Kevin McCloud?s Decorating Book,Rosie Ford (Project Editor)
Arts and Crafts,0,Large,3,Copy the Color,Disney
Arts and Crafts,0,Medium,3,The Parents Party Book,"Sally Lee, Eleanor Levie"
Arts and Crafts,0,Medium,3,Jumbo Word Find Volume 8,Bendon
Arts and Crafts,0,Small,3,838 Ways to Amuse a Child,June Johnson
Arts and Crafts,0,Small,3,Sticker Play: Our House,Joshua Morris
Arts and Crafts,0,Large,30,Barney's Amazing Mazes & More!: A Wipe-Clean Activity Book,Scholastic Inc.
Arts and Crafts,0,Large,31,Katuwaan sa Batibot,Aklat Batibot
Arts and Crafts,0,Large,32,Verbal Reasoning Activities,Jean Gilliam DeGaetano
Arts and Crafts,0,Large,33,The Kids' Fun-filled Question & Answer Book,Jane Parker Resnick
Arts and Crafts,0,Large,34,Doraemon Activity Book,BPI India PVT LTD
Arts and Crafts,0,Large,35,Madagascar Escape 2 Africa,HarperCollins Children's Books
Arts and Crafts,0,Large,36,Mind-Boggling Mazes,Dave Phillips
Arts and Crafts,0,Large,37,Reproducible Sequencing and Perceptual Skills ,Barbara Gregorich
Arts and Crafts,0,Large,38,Tiny Tot Cursive Writing Book 1,Tiny Tot Publications
Arts and Crafts,0,Large,39,Before I Do Math,Laurel Langdon Arndt B.S.
Arts and Crafts,0,Large,4,Show-Me-How I Can Make Magic,Hugh Nightingale
Arts and Crafts,0,Large,4,Jumbo: Coloring and Activity Book,Cathay Pacific
Arts and Crafts,0,Medium,4,Let's Pretend,"Pamela Mainprize, Moira Howes"
Arts and Crafts,0,Medium,4,Home Time: A Book to Entertain Your Child Let's Pretend,"Pamela Mainprize, Moira Howes"
Arts and Crafts,0,Medium,4,"Sing, Spell, Read&Write: Phonetic Storybook Reader 4",Sue Dickson
Arts and Crafts,0,Small,4,Balloon Animals,Barb Whiter
Arts and Crafts,0,Small,4,Sticker Play: Castle Creepy,Joshua Morris
Arts and Crafts,0,Large,40,Felicity Wishes: Fairy Friends Activity Book,Emma Thomson's
Arts and Crafts,0,Large,41,Scripture Stories For Today,Henry and Harvey
Arts and Crafts,0,Large,42,Where are they? Search & Find: 1000s of Fun Things to Find!,Tony Tallarico
Arts and Crafts,0,Large,43,Multicolor Special: Monsters University,Disney | LIBRI
Arts and Crafts,0,Large,44,Things To Do,Clare Caddock
Arts and Crafts,0,Large,45,Hakse Goes To Japan,Bruno Bear and Friends
Arts and Crafts,0,Large,46,Happy Playtime!,BBC Children's Books
Arts and Crafts,0,Large,47,Batman Begins: Sticker Book,Alligator Books
Arts and Crafts,0,Large,48,My Book of Number Games (1-50),Kumon
Arts and Crafts,0,Large,49,Letts Numeracy Maths Skills,Letts Educational
Arts and Crafts,0,Large,5,Teletubbies: Color the Leader Book - A Funny Day,Honey Bear Books
Arts and Crafts,0,Medium,5,Children?s Parties,Nicola Wright
Arts and Crafts,0,Medium,5,Follow My Fancy: The Book of Jacks and Jack Games,Marta Weigle
Arts and Crafts,0,Small,5,Touch and Feel Farm,DK Publishing
Arts and Crafts,0,Large,50,You Choose,"Nick Sharratt, Pippa Goodhart"
Arts and Crafts,0,Large,51,My First Book of Learning,Make Believe Ideas LTD
Arts and Crafts,0,Large,52,I SPY: Year-Round Challenger,"Walter Wick, Jean Marzollo | Scholastic Inc."
Arts and Crafts,0,Large,53,I SPY: Spooky Night,"Walter Wick, Jean Marzollo | Scholastic Inc."
Arts and Crafts,0,Large,54,Words to Learn Around the Farm: Sticker Fun Book,Peter Haddock Publishing
Arts and Crafts,0,Large,55,Early Learning Center: Colours Book,The Five Mile Press Pty Ltd
Arts and Crafts,0,Large,6,Paint with Water: Cute Cuddly Animals,Playmore Waldman
Arts and Crafts,0,Medium,6,Origami for Beginners,Florence Temko
Arts and Crafts,0,Medium,6,Animazing! Animal Fun Facts and Fun Activities,Dudi & Cathy Gamos
Arts and Crafts,0,Small,6,Touch and Feel Birthday,DK Publishing
Arts and Crafts,0,Large,7,Bratz: Friends 'N' Trends!,Modern Publishing
Arts and Crafts,0,Medium,7,Angelina Ballerina,Katharine Holabird
Arts and Crafts,0,Medium,7,Brainy Baby Shapes and Colors,Edith Reynolds
Arts and Crafts,0,Small,7,DISCOVER Yourself!,Lori Stacy
Arts and Crafts,0,Large,8,Might Morphin Power Rangers: Workbook 1,Crayon Coloring Book
Arts and Crafts,0,Medium,8,Brainy Baby 123's,Edith Reynolds
Arts and Crafts,0,Small,8,Sudoku for Dummies,"Andrew Heron, Edmund James"
Arts and Crafts,0,Large,9,Teaching Story Writing,Scholastic Inc.
Arts and Crafts,0,Medium,9,NYT's Children's Word Games and Crossword Puzzles,Eugene T. Maleska
Arts and Crafts,0,Small,9,Elmo's World Music!,Random House
Bible Stories,0,Large,1,Acts of the Apostles,Tamara S. Woell
Bible Stories,0,Medium,1,Francis and the Animals,Pino Madero
Bible Stories,0,Small,1,Things Jesus Did,Raymond H. Woolsey
Bible Stories,0,Large,10,Gospel Komiks vol. 9 no. 4,Jericho M. Natividad
Bible Stories,0,Medium,10,Moses' Great Adventure,"Jean Mercier, Monique Scherrer"
Bible Stories,0,Small,10,Daniel in the Dangerous Den,Carol Greene
Bible Stories,0,Large,11,Gospel Komiks vol. 9 no. 5,Jericho M. Natividad
Bible Stories,0,Medium,11,The Wonderful Story of Christmas,Matthieu de Laubier
Bible Stories,0,Small,11,The Story of Jesus and His Disciples,Alice Joyce Davidson
Bible Stories,0,Large,12,"Jesus: Gospel Komiks Edition for Kindergarten, Grade 1 & 11",Bernadette B. Biarcal
Bible Stories,0,Medium,12,Ang Mahiwagang Tala: Isang Kwento ng Unang Pasko,"Rene O. Villanueva, Tomas Lacson, Reynaldo Tiongson"
Bible Stories,0,Small,12,The Story of Esther,Alice Joyce Davidson
Bible Stories,0,Large,13,The Great Bible Discovery: Jeremiah - The Cost of Being a Prophet,"M. Publishing Carlisle, UK"
Bible Stories,0,Medium,13,Saint Augustine,Emmanuelle Remond- Dalyac
Bible Stories,0,Large,14,The Wisdom Bird: A Tale of Solomon and Sheba,Sheldon Oberman
Bible Stories,0,Medium,14,Mommy Loves Jesus,Catherine Snider
Bible Stories,0,Large,15,The Nativity,Peter Haddock Publishing
Bible Stories,0,Medium,15,What's for Breakfast?,Grace D. Chong
Bible Stories,0,Medium,16,My Very First Bible,Lois Rock
Bible Stories,0,Medium,17,A Child First Story of Jesus,"Lois Rock, Anthony Lewis"
Bible Stories,0,Medium,18,Pedro Calungsod: Kabataan Para Kay Kristo,"Fr. Salvatore Putzu, SDB"
Bible Stories,0,Medium,19,Salita at Buhay,"Fr. Salvatore Putzu, SDB"
Bible Stories,0,Large,2,A Child's First Book of Prayers,Marjorie Newman
Bible Stories,0,Medium,2,Presenting Every Believer Mature in Christ,Nomer C. Bernardino
Bible Stories,0,Small,2,The Prayer of Jabez,Bruce Wilkinson
Bible Stories,0,Medium,20,Salita at Buhay,"Fr. Salvatore Putzu, SDB"
Bible Stories,0,Medium,21,Gospel Komiks,Jericho M. Natividad
Bible Stories,0,Medium,22,The Bread Basket: I Have Found The Truth,Renato N. Carvajal
Bible Stories,0,Medium,23,The Bread Basket: The Love that Makes the World Go Round,Renato N. Carvajal
Bible Stories,0,Medium,24,"The Bread Basket: Easter, Like Christmas, Is a Time of Giving",Renato N. Carvajal
Bible Stories,0,Medium,25,The Bread Basket: A Tribute: Strong Women,Renato N. Carvajal
Bible Stories,0,Medium,26,The Bread Basket: Life Hereafter: A Reflection Piece,Renato N. Carvajal
Bible Stories,0,Medium,27,The Bread Basket: A Saint's Story: San Vicente de Paul,Renato N. Carvajal
Bible Stories,0,Medium,28,The Bread Basket: A Cathecism on Baptism,Renato N. Carvajal
Bible Stories,0,Medium,29,The Bread Basket: Saints: Salt and Light of The World,Renato N. Carvajal
Bible Stories,0,Large,3,Gospel of Luke,"Marjorie Newman, M. Kathleen Glavich"
Bible Stories,0,Medium,3,The Story of Jesus,Jane Werner Watson
Bible Stories,0,Small,3,Steps to Christ: How to Know Him Beter,Ellen G. White
Bible Stories,0,Medium,30,The Bread Basket: YOLO,Renato N. Carvajal
Bible Stories,0,Large,4,Baby Jesus: The Little Boy and the Giant,Renato C. Vibiesca
Bible Stories,0,Medium,4,Moses in the Reeds,Richard and Christine Deverell
Bible Stories,0,Small,4,Hark the Herald: How the Bible Tells Us When Jesus Was Born,Rev. Fr. Gerardo R. Tapiador
Bible Stories,0,Large,5,Baby Jesus: Jesus Attended a Party,Renato C. Vibiesca
Bible Stories,0,Medium,5,Jonah and The Whale,Richard and Christine Deverell
Bible Stories,0,Small,5,Champions For Christ: A New Breed of Athelete,Rice Broocks
Bible Stories,0,Large,6,Baby Jesus: God Made the World,Renato C. Vibiesca
Bible Stories,0,Medium,6,Exploring God's Word: An Introduction,"Fr. Salvatore Putzu, SDB"
Bible Stories,0,Small,6,The Children's Bible,Juan Marques Surinach
Bible Stories,0,Large,7,Gospel Komiks vol. 9 no. 1,Jericho M. Natividad
Bible Stories,0,Medium,7,The Miracles of Jesus,"Emmanuelle Remond-Dalyac, Delphine Sauliere, Monique Scherrer"
Bible Stories,0,Small,7,Christians Courageous,Anne E. Schraff
Bible Stories,0,Large,8,Gospel Komiks vol. 9 no. 2,Jericho M. Natividad
Bible Stories,0,Medium,8,Hello God! 1,Grace D. Chong
Bible Stories,0,Small,8,The Mystical City of God,Venerable Mary of Agreda
Bible Stories,0,Large,9,Gospel Komiks vol. 9 no. 3,Jericho M. Natividad
Bible Stories,0,Medium,9,Hello God! 3,Grace D. Chong
Bible Stories,0,Small,9,Prayers to the Saints,"Rev. Lawrence G. Lovasik, S.V.D."
Cartoons,0,Large,1,My Journey with Thomas the Tank Engine, Britt Allcroft
Cartoons,0,Large,1,My Journey with Thomas The Tank Engine,Britt Allcroft
Cartoons,0,Medium,1,Sesame Street: Vegetable Soup,"Judt Freudberg, Tony Geiss"
Cartoons,0,Medium,1,Vegetable Soup ,Judy Freudberg and Tony Geiss
Cartoons,0,Small,1,Elmo's Mother Goose,Constance Allen
Cartoons,0,Small,1,Elmo's Mother Goose,Constance Allen
Cartoons,0,Large,10,Snoopy: My Greatest Adventures,Charles M. Schulz
Cartoons,0,Large,10,Snoopy My Greatest Adventures,Charles M. Schulz
Cartoons,0,Medium,10,Clifford: Tummy Trouble,Josephine Page
Cartoons,0,Medium,10,Tummy Trouble,Josephine Page
Cartoons,0,Small,10,Sesame Street: I Have to Go,Ross/Gorbaty
Cartoons,0,Small,10,I Have To Go,Anna Ross
Cartoons,0,Large,11,The Powerpuff Girls Look and Find,Lynne Suesse
Cartoons,0,Large,11,The Powerpuff Girls,Lynn Suesse
Cartoons,0,Medium,11,"Clifford: The Dog Who Cried ""Woof!""",Bob Barkly
Cartoons,0,Medium,11,"The Dog Who Cried ""Woof!""",Bob Barkly
Cartoons,0,Small,11,Sesame Street: Be My Friend,Ross/Gorbaty
Cartoons,0,Small,11,Be My Friend,Anna Ross
Cartoons,0,Medium,12,"Peanuts: Kick the Football, Charlie Brown",Charles M. Schulz
Cartoons,0,Medium,12,"Kick The Football, Charlie Brown!",Judy Katschke
Cartoons,0,Small,12,Timmy's School Survival Handbook,Sarah Willson
Cartoons,0,Small,12,Timmy's School Survival Handbook,Sarah Willson
Cartoons,0,Medium,13,Thomas & Friends: Toby Had a Little Lamb,Britt Allcroft
Cartoons,0,Medium,13,Toby Had a Liitle Lamb,Britt Allcroft
Cartoons,0,Small,13,Spongebob Superstar,Annie Auerbach
Cartoons,0,Small,13,Spongebob Superstar,Annie Auerbach
Cartoons,0,Medium,14,Thomas & Friends: A Bad Day for Harold,Britt Allcroft
Cartoons,0,Medium,14,A Bad Day For Harold,Britt Allcroft
Cartoons,0,Small,14,Clifford Saves the Whales,Josephine Page
Cartoons,0,Small,14,Clifford Saves The Whales,Josephine Page
Cartoons,0,Medium,15,Spongebob Rocks!,-
Cartoons,0,Medium,15,Spongebob Rocks!,Simon Spotlight
Cartoons,0,Small,15,Hey Arnold! Return of the Sewer King,Craig Bartlett
Cartoons,0,Small,15,Hey Arnold!: Return of The Sewer King,Craig Bartlett
Cartoons,0,Medium,16,Barney's Peekaboo Halloween,Guy Davis
Cartoons,0,Medium,16,Barney's Peekaboo Halloween!,Guy Davis
Cartoons,0,Small,16,Scooby-Doo and the Mummy's Curse,James Gelsey
Cartoons,0,Small,16,Scooby-Doo and The Mummy's Curse,James Gelsey
Cartoons,0,Medium,17,Once Upon A Time? The Wizard of Oz,Penerbitan Pelangi Sdn. Bhd.
Cartoons,0,Medium,17,Once Upon A Time? The Wizard of Oz,Penerbitan Pelangi Sdn. Bhd.
Cartoons,0,Small,17,Star Wars Jedi Apprentice The Dark Rival,Jude Watson
Cartoons,0,Small,17,Jedi Apprentice: The Dark Rival,Jude Watson
Cartoons,0,Medium,18,Batman Begins : The Movie Storybook,Benjamin Harper
Cartoons,0,Medium,18,Batman Begins: The Movie Storybook,Benjamin Harper
Cartoons,0,Small,18,How to Train Your Dragon: How to Ride a Dragon's Storm,Cressida Cowell
Cartoons,0,Small,18,How To Ride A Dragon's Storm,Cressida Cowell
Cartoons,0,Small,19,Rocket Power: Welcome to Ocean Shores,Simon Spotlight
Cartoons,0,Small,19,Welcome to Ocean Shores,Holly Kowitt
Cartoons,0,Large,2,Open Season,Julia Simon-Kerr
Cartoons,0,Large,2,Open Season,Harper Collins Publishers
Cartoons,0,Medium,2,Sesame Street: The Little Red Hen,Emily Perl Kingsley
Cartoons,0,Medium,2,The Little Red Hen ,Emily Perl Kingsley
Cartoons,0,Small,2,Hunches in Bunches,Dr. Seuss
Cartoons,0,Small,2,Hunches In Bunches,Dr. Seuss
Cartoons,0,Small,20,Littlest Pet Shop Scaredy Pet,Hurley
Cartoons,0,Small,20,Scaredy Pet,Jo Hurley
Cartoons,0,Small,21,Charlie and the Chocolate Factory: The Whille-Scrumptious Joke Book,Roald Dahl
Cartoons,0,Small,21,The Whipple-Scrumptious Joke Book,Kay Woodward
Cartoons,0,Small,22,Teletubbes Popo Fast and Slow,BBC
Cartoons,0,Small,22,Teletubbies: Po Po Fast and Slow,BBC Worldwide
Cartoons,0,Medium,23,Barbie: Practice Makes Perfect,Mona Miller
Cartoons,0,Small,23,Barbie: Practice Makes Perfect,Mona Miller
Cartoons,0,Medium,24,Barbie: Let's Share,Michelle Foerder
Cartoons,0,Small,24,Barbie: Let's Share,Michelle Foerder
Cartoons,0,Small,25,Barbie: Girls Can Do Anything,Melinda Lilly
Cartoons,0,Small,26,Very Busy Barbie,Barbara Slate
Cartoons,0,Small,26,Very Busy Barbie,Barbara Slate
Cartoons,0,Small,27,The Powerpuff Girls Creature Teacher,Amy Keating Rogers
Cartoons,0,Small,27,The Powerpuff Girls: Creature Teacher,Amy Keting Rogers
Cartoons,0,Medium,28,"The Powerpuff Girls: Big, Terrible, Trouble?",Golden Books Publishing Company Inc.
Cartoons,0,Small,28,"The Powerpuff Girls Big, Terible, Trouble?",Craig McCracken
Cartoons,0,Small,29,Big Bird Brings Spring to Sesame Street,Lauren Collier Swindler
Cartoons,0,Small,29,Big Bird Brings Spring to Sesame Street,Lauren Collier Swindler
Cartoons,0,Small,29,Big Bird Brings Spring to Sesame Street,Lauren Collier Swindler
Cartoons,0,Large,3,Sesame Street: Elmo,"Catherine McCafferty, Brooke Zimmerman"
Cartoons,0,Large,3,Elmo,Catherine McCafferty and Brooke Zimmerman
Cartoons,0,Medium,3,Sesame Street: Ernie Gets Lost,Liza Alexander
Cartoons,0,Medium,3,Ernie Gets Lost,Liza Alexander
Cartoons,0,Small,3,I Had Trouble in Getting to Solla Sollew,Dr. Seuss
Cartoons,0,Small,3,I Had Trouble In Getting To Solla Sollew,Dr. Seuss
Cartoons,0,Small,30,I Think That It Is Wonderful,David Korr
Cartoons,0,Small,30,I Think That Is Wonderful and Other Poems from Sesame Street,David Korr
Cartoons,0,Small,31,Grover's Guide to Good Manners,Constance Allen
Cartoons,0,Small,31,Grover's Guide to Good Manners,Constance Allen
Cartoons,0,Small,32,The Monster at the end of this Book,Jon Stone
Cartoons,0,Small,32,The Monster At The End of this Book,jon Stone
Cartoons,0,Small,33,Clifford to the Rescue,Norman Bridwell
Cartoons,0,Small,33,Clifford To The Rescue,Norman Bridwell
Cartoons,0,Small,34,Clifford's Puppy Days: Puppy Love,Lisa Ann Marsoli
Cartoons,0,Small,34,Puppy Love,Lisa Ann Marsoli
Cartoons,0,Small,35,Clifford's Sports Day,Norman Bridwell
Cartoons,0,Small,35,Clifford's Sports Day,Norman Bridwell
Cartoons,0,Small,35,Clifford's Sports Day,Norman Bridwell
Cartoons,0,Small,36,Clifford's Good Deeds,Norman Bridwell
Cartoons,0,Small,36,Clifford's Good Deeds,Norman Bridwell
Cartoons,0,Small,37,Clifford The Firehouse Dog,Norman Bridwell
Cartoons,0,Small,37,Clifford : The Firehouse Dog,Norman Bridwell
Cartoons,0,Small,38,The Flintstone Kids Haunted!,Victoria Crenson
Cartoons,0,Small,38,The Flintstone Kids: Haunted!,Victoria Crenson
Cartoons,0,Small,39,Barney's Night Before Christmas,Stephen White
Cartoons,0,Small,39,Barney's Night Before Christmas,Stephen White
Cartoons,0,Large,4,"The Sesame Street Library: L, M, 6",Jim Henson
Cartoons,0,Large,4,The Sesame Street Library Volume 6,"Michael Frith, Emily Perl Kingsley, et al"
Cartoons,0,Medium,4,Sesame Street: Nothing to Do,Liza Alexander
Cartoons,0,Small,4,"Thomas: Henry and the Ghost Train, Percy and the Kite, Thomas and the Tiger",Christopher Awdry
Cartoons,0,Small,40,Barney & BabyBop's Band: A Story about Sharing,Mark S. Bernthal
Cartoons,0,Small,40,Barney and Baby Bop's Band,Mark S. Bernthal
Cartoons,0,Small,41,Barney & BabyBop Go to the Library,Mark S. Bernthal
Cartoons,0,Small,41,Barney and Baby Boy: Go To The Library,Mark S. Bernthal
Cartoons,0,Small,42,Star Wars The Clone Wars,Kirsten Mayer
Cartoons,0,Small,42,Star Wars: The Clone Wars,Kirsten Mayer
Cartoons,0,Small,43,Grover's 10 Terrific Ways to Help Our Wonderful World,Anna Ross
Cartoons,0,Small,43,Grover's Terrific Ways To Help Our Wonderful World,Anna Ross
Cartoons,0,Small,44,Big Bird and Little Bird's Big & Little Book,Emily Perl Kingsley
Cartoons,0,Small,44,Big Bird and Little Bird's Big & Little Book,Emily Perl Kingsley
Cartoons,0,Small,45,Little Bill: A Trip to the Hospital,Bill Cosby
Cartoons,0,Small,45,A Trip to The Hospital,Bill Cosby
Cartoons,0,Small,46,Sonic the Hedgehog: The Secret Admirer,John Michlig
Cartoons,0,Small,46,Sonic The Hedgehog 2: The Secret Admirer,john Michlig
